Buyer_ID,Unique_Buys
##,"['', 'hashish', 'antidepressant', 'kratom', 'fentanyl', 'oxycodone', 'marijuana', 'opioid', 'psychedelic', 'ketamine', 'psilocybin', 'prescription', 'methamphetamine', 'uncategorizable_listing', 'benzodiazepines', 'not_drugs', 'stimulant', 'heroin', 'ecstasy', 'steroids_and_hormones', 'dmt', 'cocaine', 'erectile_dysfunction', 'inhalants', 'dissociative', 'lsd', 'opioid_treatment']"
##,"['cocaine', 'stimulant']"
--,"['marijuana', 'not_drugs']"
-e,['not_drugs']
04,['erectile_dysfunction']
07,['oxycodone']
0W,['not_drugs']
0e,"['hashish', 'heroin']"
0f,['not_drugs']
0y,['not_drugs']
0y,['cocaine']
1 ,['ecstasy']
1 ,['cocaine']
1 ,"['methamphetamine', 'heroin']"
1 ,"['lsd', 'cocaine', 'ecstasy']"
1 ,['marijuana']
10,"['benzodiazepines', 'marijuana']"
11,"['uncategorizable_listing', 'not_drugs']"
12,['psilocybin']
15,['not_drugs']
16,['ecstasy']
18,['psilocybin']
19,['hashish']
1Y,"['lsd', '']"
1c,['']
1e,"['cocaine', 'ecstasy']"
1i,['not_drugs']
1l,['not_drugs']
1n,['cocaine']
1p,['cocaine']
1p,['marijuana']
1r,"['', 'marijuana']"
1s,['marijuana']
1s,"['methamphetamine', 'not_drugs', 'ketamine']"
1s,['stimulant']
1t,"['cocaine', 'psychedelic']"
1y,['opioid_treatment']
2 ,"['methamphetamine', 'ecstasy']"
2 ,"['ecstasy', 'ketamine']"
20,['opioid']
21,['marijuana']
22,['opioid']
22,['marijuana']
25,['marijuana']
25,['benzodiazepines']
26,['cocaine']
28,['marijuana']
29,"['dmt', 'not_drugs']"
2b,['cocaine']
2c,['marijuana']
2e,['not_drugs']
2g,"['methamphetamine', 'cocaine', 'marijuana', 'not_drugs']"
2i,['not_drugs']
2r,['marijuana']
2s,['not_drugs']
2s,['methamphetamine']
2t,['not_drugs']
30,['stimulant']
33,['marijuana']
33,['marijuana']
34,['not_drugs']
37,"['lsd', 'opioid']"
3H,['not_drugs']
3a,['not_drugs']
3n,['']
3o,['']
3q,"['opioid', 'opioid_treatment']"
3s,['not_drugs']
3t,['ecstasy']
3y,['stimulant']
4 ,"['', 'cocaine', 'prescription']"
4 ,['']
4 ,['']
40,"['', 'not_drugs']"
42,['fentanyl']
43,['marijuana']
44,['']
47,"['marijuana', 'hashish']"
47,"['lsd', 'ecstasy']"
47,"['cocaine', 'ecstasy']"
49,['ecstasy']
4D,['not_drugs']
4a,['']
4d,['marijuana']
4e,['lsd']
4m,['marijuana']
4n,"['cocaine', 'opioid']"
4o,['']
4t,['marijuana']
4v,['not_drugs']
4y,['cocaine']
5 ,"['methamphetamine', 'cocaine', 'ecstasy', 'benzodiazepines']"
5 ,['stimulant']
51,['marijuana']
55,['marijuana']
58,"['benzodiazepines', 'oxycodone']"
5a,['benzodiazepines']
5h,['ketamine']
5n,['marijuana']
5r,['not_drugs']
64,['steroids_and_hormones']
64,['not_drugs']
64,['methamphetamine']
65,['not_drugs']
66,"['not_drugs', 'ketamine']"
6G,['not_drugs']
6d,['not_drugs']
6q,['']
6y,['not_drugs']
76,['methamphetamine']
76,['not_drugs']
77,['cocaine']
78,['marijuana']
7R,['not_drugs']
7k,['benzodiazepines']
7m,['opioid']
7n,['lsd']
7x,['psilocybin']
7y,['marijuana']
7z,['psilocybin']
7z,['methamphetamine']
8-,['benzodiazepines']
82,['stimulant']
87,['']
88,['marijuana']
8d,['marijuana']
8r,['psilocybin']
8s,['heroin']
8t,['hashish']
8x,['not_drugs']
8y,['psilocybin']
94,['marijuana']
96,['methamphetamine']
9L,['not_drugs']
9b,['not_drugs']
9n,['not_drugs']
9t,['not_drugs']
9y,['not_drugs']
A ,"['lsd', 'ecstasy']"
A ,['marijuana']
A ,['marijuana']
A ,['marijuana']
