Vendor Name,ecstasy,methamphetamine,lsd,ketamine,dmt,marijuana,benzodiazepines,amphetamine,hashish,oxycodone,others,cocaine,heroin,psilocybin,buprenorphine
-Lenas-BioLaden-,0.0,0.0,0.0,0.0,0.0,0.7983193277310925,0.0,0.0,0.20168067226890757,0.0,0.0,0.0,0.0,0.0,0.0
0a74ad41873d53e50e9dce228c96433c,0.1827956989247312,0.06093189964157706,0.034050179211469536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34408602150537637,0.3781362007168459,0.0,0.0
24-7SmokeShop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420HighStreet,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550d05ab240ec337038af814ff0de287,0.26732673267326734,0.0,0.0,0.06930693069306931,0.0,0.0891089108910891,0.0,0.2079207920792079,0.0594059405940594,0.0,0.0,0.3069306930693069,0.0,0.0,0.0
8cbbe8be5c9aef66a501a1b25e17efb7,0.2711864406779661,0.0847457627118644,0.0,0.0,0.0,0.0,0.4406779661016949,0.00847457627118644,0.0,0.1016949152542373,0.0423728813559322,0.05084745762711865,0.0,0.0,0.0
9incecloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A1CRACK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alagbada726,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlanCuring420_UK,0.0,0.0,0.0,0.0,0.0,0.984,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
Americansteroids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aphelion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlackSheepSquadron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BlueFairy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boliko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BudWorld,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BuddyBLAZE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CalSource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CaliCartel,0.0,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.591304347826087,0.0,0.0,0.0
CaliDrugCo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,0.7941176470588235,0.0,0.0
Cannabuds,0.0,0.0,0.0,0.0,0.0,0.989010989010989,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0
CaptainPirate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_King,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CheechandChongAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ChemicalConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.5494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45054945054945056
ChillChem,0.49746192893401014,0.0,0.0,0.0,0.0,0.0,0.5025380710659898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocaineandbrandy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CryptoICE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCdutchconnectionUK,0.8786764705882353,0.0,0.1213235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDUK-NDD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMT-lovestore,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOPE_CHEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DRUGPOOL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerSandmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Discover,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DispensaryDash,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoctorCannabis,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoktorGreen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoktorKosmos,0.42777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.5722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrOxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DrRubiks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dr_Seuss_CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr_Seuss_FR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duckthugg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EPharma,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.0
ETHER_MART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EYDirect,0.35555555555555557,0.0,0.375,0.23055555555555557,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0
French_camorra,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUENEWALDSCAVE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gladyman,0.45394736842105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5460526315789473,0.0,0.0,0.0,0.0
GreenFingers,0.0,0.0,0.0,0.0,0.0,0.08955223880597014,0.0,0.0,0.9104477611940298,0.0,0.0,0.0,0.0,0.0,0.0
GreenSupreme,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.7972027972027972,0.0,0.0,0.02097902097902098,0.0,0.0,0.0
Grenouillebleu,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GrimReefer420,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HQoz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HappyDutch,0.6099585062240664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3900414937759336,0.0,0.0,0.0
HeinekenExpress,0.3674033149171271,0.20165745856353592,0.20994475138121546,0.04419889502762431,0.0,0.04419889502762431,0.016574585635359115,0.08011049723756906,0.0027624309392265192,0.016574585635359115,0.013812154696132596,0.0027624309392265192,0.0,0.0,0.0
HerbinLegend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HonestTrader,0.8363636363636363,0.0,0.0,0.0,0.16363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyperamigo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICE-CUBE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUNY,0.0,0.0,0.0,0.0,0.0,0.0,0.10948905109489052,0.7299270072992701,0.0,0.16058394160583941,0.0,0.0,0.0,0.0,0.0
JerryGarcia,0.0,0.0,0.9897959183673469,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0
KingPharma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kman3000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KungMarkatta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LiLXanax,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightBroker,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LySanDerspooner,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaggieThatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.737037037037037,0.26296296296296295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manny101_DM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mastery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MercenaryGB,0.0,0.0,0.0,0.6382978723404256,0.0,0.0,0.0,0.14285714285714285,0.2188449848024316,0.0,0.0,0.0,0.0,0.0,0.0
Migosicegang,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MoonBanana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mr.Postman,0.2032520325203252,0.0,0.0,0.11382113821138211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829268292682927,0.0,0.0,0.0
Mr.Sandman,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrBlow,0.3403361344537815,0.40756302521008403,0.0,0.0,0.0,0.0,0.0,0.0,0.22268907563025211,0.0,0.0,0.029411764705882353,0.0,0.0,0.0
Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.9423076923076923,0.0,0.0,0.0,0.0
NDD-DMT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NELIZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHS_UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NordicBars,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OneStop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHARMALABS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PackzRus,0.0,0.0,0.0,0.7157894736842105,0.0,0.06315789473684211,0.0,0.0,0.22105263157894736,0.0,0.0,0.0,0.0,0.0,0.0
PaulReubens,0.0,0.0,0.0,0.0,0.0,0.07482993197278912,0.0,0.0,0.7210884353741497,0.0,0.0,0.20408163265306123,0.0,0.0,0.0
Perfect.Shrooms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PleasureIsland,0.1694915254237288,0.0,0.0,0.0,0.0,0.8305084745762712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PopeyeUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Port-Royal,0.0,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0,0.9326923076923077,0.0,0.0,0.0,0.0,0.0,0.0
PostmanDRUGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Qualitywhitee,0.5132450331125827,0.0,0.0,0.32781456953642385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15894039735099338,0.0,0.0,0.0
RayfulWhyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253164556962026,0.47468354430379744,0.0,0.0
RealPharmaceuticals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9603960396039604,0.039603960396039604,0.0,0.0,0.0,0.0
Recettear,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdamus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoyalMail,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNIFFKING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ScarlettsK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shiny.Flakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SigmaOmicron,0.08653846153846154,0.49038461538461536,0.014423076923076924,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.39903846153846156,0.0,0.0,0.0
Smokey1884,0.0,0.20689655172413793,0.0,0.0,0.0,0.7844827586206896,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0
