,vendor_name,date,drug_prediction
10946,hiddenhands,2018-04-03 19:14:02,ketamine
10911,hiddenhands,2018-04-03 19:14:02,ketamine
15416,drugpharmacist,2018-04-03 22:19:03,methamphetamine
21600,trotters_stash,2018-04-04 02:00:13,heroin
10955,hiddenhands,2018-04-04 19:14:02,ketamine
10947,hiddenhands,2018-04-04 19:14:02,ketamine
12920,drugkingz,2018-04-04 20:42:58,cocaine
20715,ScarlettsK,2018-04-05 01:54:14,ketamine
20840,puremedicinehouse,2018-04-05 01:55:43,dmt
10960,hiddenhands,2018-04-05 19:14:02,ketamine
10931,hiddenhands,2018-04-05 19:14:02,ketamine
12799,value.lucid,2018-04-05 20:41:52,lsd
12903,drugkingz,2018-04-05 20:42:58,cocaine
12913,drugkingz,2018-04-05 20:42:58,cocaine
15399,drugpharmacist,2018-04-05 22:19:03,methamphetamine
50195,ScarlettsK,2018-04-06 17:59:05,ketamine
32167,thatsteroidguy,2018-04-06 20:10:28,others
32198,thatsteroidguy,2018-04-06 20:10:28,others
22243,MaggieThatcher,2018-04-07 03:47:27,benzodiazepines
22327,PHARMALABS,2018-04-07 03:47:48,others
22316,PHARMALABS,2018-04-07 03:47:48,others
14713,frosties2014,2018-04-07 22:16:57,ecstasy
15570,philppplein,2018-04-07 22:20:04,heroin
16258,MaggieThatcher,2018-04-07 22:30:24,benzodiazepines
21178,philppplein,2018-04-08 01:58:20,cocaine
22332,PHARMALABS,2018-04-08 03:47:48,others
24940,g00d00,2018-04-08 13:23:34,ecstasy
24929,g00d00,2018-04-08 13:23:34,ecstasy
24909,g00d00,2018-04-08 13:23:34,ecstasy
59498,Port-Royal,2018-04-08 19:35:19,hashish
14719,frosties2014,2018-04-08 22:16:57,ecstasy
20839,puremedicinehouse,2018-04-09 01:55:43,dmt
20841,puremedicinehouse,2018-04-09 01:55:43,dmt
20905,Discover,2018-04-09 01:55:49,benzodiazepines
43540,PleasureIsland,2018-04-09 03:00:59,ecstasy
44556,fantasy44,2018-04-09 03:13:58,benzodiazepines
44545,fantasy44,2018-04-09 03:13:58,benzodiazepines
23430,DDUK-NDD,2018-04-09 04:18:59,benzodiazepines
